chem_code,casnum
1681,"33820-53-0  "
1682,"126851-24-9 "
1682,"154765-32-9 "
1682,"7173-51-5   "
1683,"29091-05-2  "
1684,"23564-06-9  "
1685,"30560-19-1  "
1686,"1446-61-3   "
1687,"139939-63-2 "
1687,"56172-58-8  "
1687,"7720-78-7   "
1687,"8060-18-2   "
1687,"8063-79-4   "
1689,"950-37-8    "
1691,"886-50-0    "
1692,"21087-64-9  "
1693,"3244-90-4   "
1695,"7696-12-0   "
1696,"23564-05-8  "
1697,"10265-92-6  "
1698,"106392-12-5 "
1698,"9003-11-6   "
1699,"504-63-2    "
1701,"22936-86-3  "
1702,"60-00-4     "
1704,"13952-84-6  "
1705,"25939-05-3  "
1709,"32426-11-2  "
1710,"5538-94-3   "
1712,"49794-91-4  "
1717,"64742-94-5  "
1718,"3097-08-3   "
1719,"8007-45-2   "
1720,"1319-77-3   "
1720,"65996-85-2  "
1721,"38827-71-3  "
1722,"71808-54-3  "
1724,"124-04-9    "
1725,"53535-27-6  "
1728,"15299-99-7  "
1730,"8002-05-9   "
1731,"29110-22-3  "
1733,"13360-45-7  "
1735,"68188-29-4  "
1736,"23710-76-1  "
1739,"25155-30-0  "
1743,"26027-38-3  "
1743,"9016-45-9   "
1744,"12771-68-5  "
1746,"2302-17-2   "
1748,"13684-56-5  "
1749,"10222-01-2  "
1750,"68516-06-3  "
1753,"53535-27-6  "
1755,"5234-68-4   "
1756,"33629-47-9  "
1757,"17421-79-3  "
1761,"7631-95-0   "
1762,"33113-08-5  "
1766,"68439-50-9  "
1776,"34590-94-8  "
1777,"83542-86-3  "
1778,"139939-69-8 "
1778,"7758-98-7   "
1780,"61791-58-0  "
1782,"38827-31-5  "
1782,"47000-92-0  "
1784,"40596-69-8  "
1786,"26468-79-1  "
1788,"37523-33-4  "
1789,"10257-54-2  "
1790,"7558-79-4   "
1791,"112-30-1    "
1792,"78-21-7     "
1793,"2941-55-1   "
1794,"7722-84-1   "
1796,"139-66-2    "
1798,"2058-46-0   "
1799,"10311-84-9  "
1800,"12280-03-4  "
1802,"53494-58-9  "
1803,"133597-45-2 "
1803,"37286-64-9  "
1803,"54004-82-9  "
1804,"53466-80-1  "
1806,"61790-13-4  "
1808,"11130-12-4  "
1808,"12179-04-3  "
1809,"2173-56-0   "
1810,"34014-18-1  "
1811,"10028-22-5  "
1812,"17375-41-6  "
1813,"59-50-7     "
1814,"68477-31-6  "
1815,"75-43-4     "
1816,"7632-50-0   "
1817,"143-19-1    "
1818,"51580-86-0  "
1819,"38827-35-9  "
1820,"28631-35-8  "
1821,"9005-84-9   "
1822,"15457-05-3  "
1824,"51026-28-9  "
1825,"68-12-2     "
1827,"68424-92-0  "
1829,"53404-28-7  "
1830,"68155-37-3  "
1832,"25537-26-2  "
1833,"53466-68-5  "
1835,"9004-64-2   "
1839,"53516-75-9  "
1840,"6834-92-0   "
1841,"68155-42-0  "
1842,"53404-03-8  "
1843,"68957-70-0  "
1844,"66455-15-0  "
1846,"63449-41-2  "
1846,"68424-85-1  "
1847,"63449-41-2  "
1848,"33245-39-5  "
1849,"8045-21-4   "
1850,"63449-41-2  "
1850,"8001-54-5   "
1851,"33956-49-9  "
1851,"3572-06-3   "
1853,"63449-41-2  "
1854,"85409-23-0  "
1855,"38641-94-0  "
1856,"5598-52-7   "
1857,"22224-92-6  "
1858,"27519-02-4  "
1859,"10058-23-8  "
1860,"7646-93-7   "
1861,"63148-62-9  "
1861,"9016-00-6   "
1863,"51344-62-8  "
1865,"3064-70-8   "
1867,"72-14-0     "
1868,"19044-88-3  "
1870,"8002-33-3   "
1871,"51235-04-2  "
1873,"1321-69-3   "
1875,"23103-98-2  "
1876,"13356-08-6  "
1878,"68131-39-5  "
1879,"26401-47-8  "
1879,"9014-92-0   "
1881,"26530-20-1  "
1884,"97043-91-9  "
1886,"4808-30-4   "
1887,"8000-46-2   "
1888,"8000-28-0   "
1889,"628-63-7    "
1890,"26545-53-9  "
1890,"26836-07-7  "
1891,"1461-22-9   "
1892,"7166-19-0   "
1893,"2634-33-5   "
1893,"6317-18-6   "
1895,"37924-13-3  "
1897,"26399-36-0  "
1898,"3737-41-5   "
1900,"26225-79-6  "
1902,"55617-85-1  "
1905,"26644-46-2  "
1905,"37273-84-0  "
1908,"10101-39-0  "
1909,"8023-53-8   "
